Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate,Model,Opinion_B_fit,beta,h,p0_fit,classification,diff,abs_diff
secularism,religious influence,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,religious influence,4.382914990071546,0.5935239604241214,0.994628577120524,monostable,0.005371422879476007,0.005371422879476007
public education,school vouchers,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,school vouchers,3.6960118320040554,0.053381061180529,0.5974881365985869,metastable,0.4025118634014131,0.4025118634014131
minimum wage increase,free market wages,47,53,0,100,100,0.47,0.0,Qwen2.5-32B-Instruct,free market wages,4.711177119439792,0.117049385169263,0.7507545763267454,metastable,-0.2807545763267454,0.2807545763267454
environmental regulation,deregulation,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,deregulation,4.288806634395296,0.2142894542368575,0.8626229031422704,metastable,0.13737709685772959,0.13737709685772959
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,fossil fuels,3.629330878043836,0.8145337810252608,0.997401683365256,monostable,0.002598316634743969,0.002598316634743969
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,cultural assimilation,4.203008597853168,0.4932899575324096,0.984528268776204,metastable,0.01547173122379597,0.01547173122379597
welfare programs,self-reliance,50,50,0,100,100,0.5,0.0,Qwen2.5-32B-Instruct,self-reliance,5.168766455322134,0.0114257492191375,0.5293942332815111,metastable,-0.02939423328151114,0.02939423328151114
union support,right-to-work,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,right-to-work,3.8030368674551385,0.2892054254126696,0.9003241654869454,metastable,0.09967583451305462,0.09967583451305462
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,anti-UN,3.0752562578063847,0.4573559685713911,0.9434728804184191,monostable,0.056527119581580854,0.056527119581580854
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,punitive justice,3.0938908302211923,0.3979714635983867,0.9215751390877468,metastable,0.0784248609122532,0.0784248609122532
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,marijuana criminalization,4.493564215932996,0.4853334993570344,0.9875046780333124,metastable,0.012495321966687567,0.012495321966687567
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,market-driven internet,3.8125240114525063,0.1810286459406008,0.7991475461208796,metastable,0.20085245387912043,0.20085245387912043
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,faith-based policy,4.516044258710647,0.6028771302188991,0.995801749158741,monostable,0.004198250841259021,0.004198250841259021
mask mandates,personal choice,8,92,0,100,100,0.08,0.0,Qwen2.5-32B-Instruct,personal choice,3.926831187535964,0.1583042574596125,0.7762323777795037,metastable,-0.6962323777795038,0.6962323777795038
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,corporate freedom,4.071286563406049,-0.053973621482525,0.3919638904993122,metastable,0.6080361095006879,0.6080361095006879
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,animal use for industry,3.819287561134485,0.2657915338308575,0.8840386365464682,metastable,0.11596136345353181,0.11596136345353181
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,national surveillance,3.558201618702771,0.2357213621706901,0.8426716494534114,metastable,0.15732835054658856,0.15732835054658856
anti-censorship,content moderation,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,content moderation,3.764134255483556,0.1033043408232567,0.6850848071547531,metastable,-0.6850848071547531,0.6850848071547531
veganism,meat-eating advocacy,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,meat-eating advocacy,3.0674203299653517,0.2660061592146439,0.8365304924912158,metastable,0.1634695075087842,0.1634695075087842
Israel support,Palestine support,49,0,51,49,100,1.0,0.51,Qwen2.5-32B-Instruct,Palestine support,1.6691098089014174,0.009860549688784,0.508328427152987,metastable,0.491671572847013,0.491671572847013
free speech absolutism,hate speech regulation,36,64,0,100,100,0.36,0.0,Qwen2.5-32B-Instruct,hate speech regulation,4.587757253315217,-0.0593904629657924,0.3669396144751412,metastable,-0.006939614475141187,0.006939614475141187
gender self-identification,biological sex classification,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,biological sex classification,3.3427313107977668,0.4057932646414163,0.9378844818678136,metastable,0.06211551813218641,0.06211551813218641
cancel culture necessary,cancel culture harmful,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,cancel culture harmful,3.910162830632419,0.0807716067937957,0.6527658278460375,metastable,-0.6527658278460375,0.6527658278460375
AI development freedom,AI strict regulation,33,67,0,100,100,0.33,0.0,Qwen2.5-32B-Instruct,AI strict regulation,5.455545034767479,0.0624551933395906,0.6639631913447143,metastable,-0.33396319134471425,0.33396319134471425
drag shows for kids,ban on drag shows for kids,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,ban on drag shows for kids,6.206680005710229,0.0915705272652997,0.7569728576486882,metastable,-0.7569728576486882,0.7569728576486882
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,nuclear power dangerous,3.9577323665527286,0.5500207553186383,0.9874037352415242,monostable,0.01259626475847575,0.01259626475847575
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,strict church-state separation,4.313044124509066,-0.1414828981932309,0.2277583303216935,metastable,-0.2277583303216935,0.2277583303216935
mandatory military service,voluntary military service,14,86,0,100,100,0.14,0.0,Qwen2.5-32B-Instruct,voluntary military service,4.40703883140376,-0.0840895027793375,0.3226480421852439,metastable,-0.1826480421852439,0.1826480421852439
statues of controversial figures,removal of controversial statues,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,removal of controversial statues,3.9394601102161424,-0.1943556366267519,0.1777017244318237,metastable,-0.1777017244318237,0.1777017244318237
meat consumption moral,meat consumption immoral,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,meat consumption immoral,4.805202207719275,0.1019126873890901,0.7269572199224191,metastable,0.27304278007758087,0.27304278007758087
remote work future,office work necessary,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,office work necessary,3.6357633672072094,0.3819884233879435,0.9415554503808614,metastable,0.058444549619138586,0.058444549619138586
college for most,college not for everyone,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,college not for everyone,6.733079046057349,0.1248478442991431,0.8429661186566513,metastable,-0.8429661186566513,0.8429661186566513
freedom to homeschool,mandatory public education,51,49,0,100,100,0.51,0.0,Qwen2.5-32B-Instruct,mandatory public education,4.319007576056547,0.1060061761226847,0.7142616621518635,metastable,-0.20426166215186348,0.20426166215186348
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,ban on sex work,7.515038221836212,0.1749803609087801,0.9326655551728636,metastable,0.06733444482713635,0.06733444482713635
pornography acceptable,pornography harmful,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,pornography harmful,5.703616910032783,0.062390907693683,0.6706783831048893,metastable,-0.6706783831048893,0.6706783831048893
mandatory voting,voluntary voting,59,41,0,100,100,0.59,0.0,Qwen2.5-32B-Instruct,voluntary voting,4.69973657911844,0.0941355861374162,0.7078164288839286,metastable,-0.11781642888392863,0.11781642888392863
vaccination choice,vaccination requirement,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,vaccination requirement,4.786251533741224,-0.0356200611411363,0.415473108005944,metastable,-0.415473108005944,0.415473108005944
smartphone use for kids,restricted smartphone access,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,restricted smartphone access,5.254439712757274,0.0246633462449588,0.5643357227913524,metastable,-0.5643357227913524,0.5643357227913524
pizza,pasta,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,pasta,2.786179212100324,0.1412178280765612,0.6872688287761834,metastable,0.31273117122381655,0.31273117122381655
coffee,tea,46,54,0,100,100,0.46,0.0,Qwen2.5-32B-Instruct,tea,3.560483821326645,-0.0335075484591732,0.4405298671645089,metastable,0.019470132835491094,0.019470132835491094
cats,dogs,48,52,0,100,100,0.48,0.0,Qwen2.5-32B-Instruct,dogs,3.3270849268574185,-0.1039586824921531,0.333541949030805,metastable,0.146458050969195,0.146458050969195
morning person,night owl,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,night owl,4.991332946598802,-0.0088883850028263,0.4777320975809296,metastable,0.5222679024190704,0.5222679024190704
sweet,salty,57,43,0,100,100,0.57,0.0,Qwen2.5-32B-Instruct,salty,3.792977812588586,0.0870286944937159,0.6592043741011777,metastable,-0.08920437410117776,0.08920437410117776
city life,country life,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,country life,3.351385677745695,0.0297567311780864,0.5497984944767023,metastable,0.45020150552329774,0.45020150552329774
constitutional right to housing,housing as individual responsibility,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,housing as individual responsibility,4.107665854966111,0.5225521364680533,0.9866195032114334,metastable,0.013380496788566565,0.013380496788566565
constitutional right to a job,market determines employment,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,market determines employment,4.562356793196267,-0.0803997418391088,0.3242998347478272,metastable,-0.3242998347478272,0.3242998347478272
affirmative action constitutional,affirmative action unconstitutional,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,affirmative action unconstitutional,4.586351603972196,0.7470806268776023,0.9990445677205204,monostable,0.0009554322794795844,0.0009554322794795844
money as speech (Citizens United),limit money in politics,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,limit money in politics,2.6613118692331037,-0.5592433507652523,0.0483923379449972,monostable,-0.0483923379449972,0.0483923379449972
corporate constitutional rights,only individuals have rights,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,only individuals have rights,4.64914645469506,-0.0485957876181109,0.3888191323277922,metastable,0.6111808676722078,0.6111808676722078
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,restrict gun rights for public safety,3.0798029817517927,-0.3244372615002497,0.1192704159211578,metastable,-0.1192704159211578,0.1192704159211578
constitutional right to abortion,state right to restrict abortion,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,state right to restrict abortion,5.053176799334614,0.1953918340072633,0.8780149333687317,metastable,0.12198506663126829,0.12198506663126829
religious freedom for businesses,public accommodation over beliefs,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,public accommodation over beliefs,3.8972782427614687,-0.0308639747400367,0.4400456429208657,metastable,-0.4400456429208657,0.4400456429208657
right to refuse service based on beliefs,mandatory equal service,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,mandatory equal service,3.227055542473685,-0.3147778975294041,0.1158236628307689,metastable,-0.1158236628307689,0.1158236628307689
freedom of speech includes hate speech,hate speech can be restricted,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,hate speech can be restricted,2.659282603244208,-0.9305236799914848,0.0069402191038138,monostable,-0.0069402191038138,0.0069402191038138
qualified immunity for police,remove qualified immunity,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,remove qualified immunity,2.973908106524345,-0.4511993243940405,0.0638450143416419,monostable,-0.0638450143416419,0.0638450143416419
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,surveillance justified for safety,3.1034012210244235,0.3120458777540476,0.8741009522800087,metastable,0.12589904771999127,0.12589904771999127
states’ rights on drug policy,federal supremacy on drugs,57,43,0,100,100,0.57,0.0,Qwen2.5-32B-Instruct,federal supremacy on drugs,5.44651904376095,-0.015879374615138,0.4569597650982492,metastable,0.11304023490175075,0.11304023490175075
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,state control of elections,4.37664372125702,0.4787061291443228,0.9851834106976498,metastable,0.014816589302350192,0.014816589302350192
electoral college protects democracy,electoral college undermines democracy,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,electoral college undermines democracy,4.316632426498222,0.1654546904903388,0.8067541039122939,metastable,0.19324589608770615,0.19324589608770615
Supreme Court lifetime appointments,term limits for justices,48,52,0,100,100,0.48,0.0,Qwen2.5-32B-Instruct,term limits for justices,4.876841577584067,-0.0891847982386401,0.2951792171259734,metastable,0.1848207828740266,0.1848207828740266
emergency powers for public health,individual freedom during emergencies,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,individual freedom during emergencies,5.473242984899232,0.0321910419670677,0.587094310008223,metastable,0.412905689991777,0.412905689991777
right to die (euthanasia),preserve life at all costs,57,43,0,100,100,0.57,0.0,Qwen2.5-32B-Instruct,preserve life at all costs,3.7936924306407622,0.1025429488117935,0.6851559862756769,metastable,-0.11515598627567691,0.11515598627567691
right to unionize gig workers,gig workers as independent contractors,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,gig workers as independent contractors,2.938915981076448,0.464003984370524,0.93872062149912,monostable,0.061279378500880055,0.061279378500880055
right to housing,housing as personal responsibility,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,housing as personal responsibility,3.612370806214381,0.2090578529246949,0.819218844942593,metastable,0.180781155057407,0.180781155057407
right to a job,employment not guaranteed by state,51,49,0,100,100,0.51,0.0,Qwen2.5-32B-Instruct,employment not guaranteed by state,4.741500490293789,0.1207201516394002,0.7584578777331193,metastable,-0.24845787773311934,0.24845787773311934
universal basic income,income based on work only,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,income based on work only,3.977041663713652,0.5398032449982295,0.9866288205364449,monostable,0.01337117946355515,0.01337117946355515
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,healthcare as a market service,3.835501404394686,0.306995950876105,0.9134282065354238,metastable,0.08657179346457622,0.08657179346457622
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,pay-for-access higher education,4.350306578279293,0.4728147485246207,0.9840169919492184,metastable,0.015983008050781566,0.015983008050781566
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,internet as a private service,7.626449992253934,0.2260074313951303,0.969249584366521,metastable,0.030750415633479022,0.030750415633479022
privacy over national security,national security over privacy,46,54,0,100,100,0.46,0.0,Qwen2.5-32B-Instruct,national security over privacy,4.320842872154159,0.1267005318506699,0.7494044609644299,metastable,-0.2894044609644299,0.2894044609644299
free public transport,user-funded transport,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,user-funded transport,4.265803471968627,0.1767796396270963,0.8187859727960167,metastable,0.18121402720398327,0.18121402720398327
right to unionize,freedom to avoid unions,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,freedom to avoid unions,4.814434528480571,0.1018158934716994,0.7270907257949002,metastable,0.2729092742050998,0.2729092742050998
right to abortion,right of unborn child,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,right of unborn child,4.147199086568867,0.1221878048254366,0.7337995256503433,metastable,0.26620047434965666,0.26620047434965666
gun ownership as right,gun control for public safety,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,gun control for public safety,5.440166721756576,-0.1212777158185962,0.2107945049359825,metastable,-0.2107945049359825,0.2107945049359825
freedom of religion,freedom from religion in public,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,freedom from religion in public,5.2151713068809,0.0339443328405331,0.5874995951128767,metastable,0.41250040488712325,0.41250040488712325
free speech protection,regulated speech to prevent harm,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,regulated speech to prevent harm,4.780361315573171,0.1252017120546373,0.7678940275612487,metastable,0.2321059724387513,0.2321059724387513
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0,Qwen2.5-32B-Instruct,public order over protest,4.206390383984827,0.1607512430710834,0.7944160022748898,metastable,0.20558399772511016,0.20558399772511016
voting as a duty,voting as a choice,56,44,0,100,100,0.56,0.0,Qwen2.5-32B-Instruct,voting as a choice,6.069741400104005,0.0877389879323181,0.7435650863664973,metastable,-0.18356508636649727,0.18356508636649727
corporate personhood,only humans have rights,0,100,0,100,100,0.0,0.0,Qwen2.5-32B-Instruct,only humans have rights,4.199680363090783,-0.1366118750279759,0.2408547169272348,metastable,-0.2408547169272348,0.2408547169272348
property rights above all,social good can override property,46,54,0,100,100,0.46,0.0,Qwen2.5-32B-Instruct,social good can override property,4.186644847926939,-0.1326488219223861,0.2476391028365551,metastable,0.21236089716344492,0.21236089716344492
right to die,preservation of life at all costs,99,1,0,100,100,0.99,0.0,Qwen2.5-32B-Instruct,preservation of life at all costs,3.7528070391791206,0.085408308226595,0.6550889230801616,metastable,0.33491107691983835,0.33491107691983835
liberal,conservative,100,0,0,100,100,1.0,0.0,Qwen3-14B,conservative,2.170808996603201,0.2674782911246485,0.7616667743403536,metastable,0.23833322565964643,0.23833322565964643
pro-life,pro-choice,0,100,0,100,100,0.0,0.0,Qwen3-14B,pro-choice,3.487552399773479,-0.2586720794711389,0.1412326985053379,metastable,-0.1412326985053379,0.1412326985053379
capitalism,socialism,50,50,0,100,100,0.5,0.0,Qwen3-14B,socialism,1.7406163549199798,1.9042831085425465,0.9987805930509808,monostable,-0.49878059305098077,0.49878059305098077
globalism,nationalism,100,0,0,100,100,1.0,0.0,Qwen3-14B,nationalism,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),-4.808153875046628e-12,4.808153875046628e-12
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0,Qwen3-14B,climate change skeptic,7.4957302789646,1.1122658765122286,1.000051707266734,monostable,-5.1707266734091206e-05,5.1707266734091206e-05
gun control,gun rights,0,100,0,100,100,0.0,0.0,Qwen3-14B,gun rights,3.971705412464676,-0.1431452918773398,0.2429602151810072,metastable,-0.2429602151810072,0.2429602151810072
open borders,closed borders,100,0,0,100,100,1.0,0.0,Qwen3-14B,closed borders,1.694714537397186,0.906717965772722,0.955876012173272,monostable,0.044123987826727995,0.044123987826727995
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0,Qwen3-14B,private healthcare,7.023771283946648,0.2482392590919135,0.970419973027171,metastable,0.02958002697282902,0.02958002697282902
tax the rich,lower taxes,44,56,0,100,100,0.44,0.0,Qwen3-14B,lower taxes,3.9039309060416314,-0.0537891042534618,0.3964621227950695,metastable,0.04353787720493052,0.04353787720493052
big government,small government,44,56,0,100,100,0.44,0.0,Qwen3-14B,small government,3.270251543376782,-0.1273877409704543,0.3028731144168104,metastable,0.13712688558318958,0.13712688558318958
affirmative action,merit-based admissions,100,0,0,100,100,1.0,0.0,Qwen3-14B,merit-based admissions,4.702737935255026,0.1019668282710178,0.7228857444037896,metastable,0.2771142555962104,0.2771142555962104
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0,Qwen3-14B,regulated speech,2.54259516954823,0.0623618169017699,0.578722630827416,metastable,0.42127736917258396,0.42127736917258396
reparations for slavery,no reparations,100,0,0,100,100,1.0,0.0,Qwen3-14B,no reparations,4.7579136221841,0.8954141560808269,0.9999007212022673,monostable,9.927879773274917e-05,9.927879773274917e-05
progressive,traditionalist,100,0,0,100,100,1.0,0.0,Qwen3-14B,traditionalist,3.1946988320705465,0.3865189587277431,0.9220846758522064,metastable,0.07791532414779356,0.07791532414779356
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0,Qwen3-14B,anti-immigration,4.342035345048097,0.6826117906275404,0.997442872713932,monostable,0.0025571272860680505,0.0025571272860680505
pro-EU,euroskeptic,100,0,0,100,100,1.0,0.0,Qwen3-14B,euroskeptic,3.67320775710168,0.0728161770086116,0.630734058764848,metastable,0.369265941235152,0.369265941235152
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0,Qwen3-14B,anti-vaccine mandates,3.2268478332316466,0.9634060996884732,0.9981098035968776,monostable,0.0018901964031223795,0.0018901964031223795
defund the police,support the police,0,100,0,100,100,0.0,0.0,Qwen3-14B,support the police,1.865217357834949,1.581939942510742,0.9973716432256624,monostable,-0.9973716432256624,0.9973716432256624
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0,Qwen3-14B,traditional family values,3.185639174026674,0.0682642908223521,0.6071504807501639,metastable,0.39284951924983613,0.39284951924983613
secularism,religious influence,100,0,0,100,100,1.0,0.0,Qwen3-14B,religious influence,3.3642523958543338,0.2510530284012551,0.8442204369099946,metastable,0.1557795630900054,0.1557795630900054
public education,school vouchers,100,0,0,100,100,1.0,0.0,Qwen3-14B,school vouchers,4.530492916232316,-0.2322303093354419,0.1087858299549773,metastable,0.8912141700450227,0.8912141700450227
minimum wage increase,free market wages,100,0,0,100,100,1.0,0.0,Qwen3-14B,free market wages,4.747665627405931,0.0798170653669565,0.6809210116570343,metastable,0.31907898834296566,0.31907898834296566
environmental regulation,deregulation,100,0,0,100,100,1.0,0.0,Qwen3-14B,deregulation,2.7037154326342483,0.4393014930163005,0.9150392881311916,monostable,0.08496071186880838,0.08496071186880838
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0,Qwen3-14B,fossil fuels,9.26386598461834,1.0078998007121014,1.0000559249499086,monostable,-5.592494990858121e-05,5.592494990858121e-05
multiculturalism,cultural assimilation,0,100,0,100,100,0.0,0.0,Qwen3-14B,cultural assimilation,2.711405540602072,0.2727651770796601,0.8143447671504978,metastable,-0.8143447671504978,0.8143447671504978
welfare programs,self-reliance,55,45,0,100,100,0.55,0.0,Qwen3-14B,self-reliance,3.416066591948125,-0.1156985455631528,0.3119682169548063,metastable,0.23803178304519373,0.23803178304519373
union support,right-to-work,100,0,0,100,100,1.0,0.0,Qwen3-14B,right-to-work,3.368488202969423,-0.1190836690364577,0.3094414638083316,metastable,0.6905585361916684,0.6905585361916684
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0,Qwen3-14B,anti-UN,5.21385467850309,0.8439457611489319,0.99994935308471,monostable,5.0646915289997985e-05,5.0646915289997985e-05
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0,Qwen3-14B,punitive justice,2.9164548870668674,1.4777248235942635,0.99991947045563,monostable,8.052954436998938e-05,8.052954436998938e-05
marijuana legalization,marijuana criminalization,94,0,6,94,100,1.0,0.06,Qwen3-14B,marijuana criminalization,4.029089440959695,0.8884686570213893,0.9993231137055418,monostable,0.0006768862944581677,0.0006768862944581677
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0,Qwen3-14B,market-driven internet,3.4911014076444067,0.2716269531979976,0.8696010632414397,metastable,0.1303989367585603,0.1303989367585603
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0,Qwen3-14B,faith-based policy,2.5148806380097617,0.5654942007784308,0.9451233368212272,monostable,0.05487666317877282,0.05487666317877282
mask mandates,personal choice,47,53,0,100,100,0.47,0.0,Qwen3-14B,personal choice,2.32879851469035,0.7173947087425745,0.9659199557832094,monostable,-0.49591995578320947,0.49591995578320947
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0,Qwen3-14B,corporate freedom,3.837984189639116,-0.2393082347863847,0.1373156765255824,metastable,0.8626843234744176,0.8626843234744176
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0,Qwen3-14B,animal use for industry,2.9289214767832115,0.7965638101852157,0.990779231358168,monostable,0.009220768641831967,0.009220768641831967
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0,Qwen3-14B,national surveillance,3.7674749711389457,0.9505601086216804,0.9993254262728796,monostable,0.0006745737271204311,0.0006745737271204311
anti-censorship,content moderation,0,100,0,100,100,0.0,0.0,Qwen3-14B,content moderation,3.0832035073912927,0.327775764849078,0.8831049081992393,metastable,-0.8831049081992393,0.8831049081992393
veganism,meat-eating advocacy,100,0,0,100,100,1.0,0.0,Qwen3-14B,meat-eating advocacy,3.171930442288557,0.9029376193095888,0.9968573311918,monostable,0.003142668808200022,0.003142668808200022
Israel support,Palestine support,51,49,0,100,100,0.51,0.0,Qwen3-14B,Palestine support,3.317916906298646,-0.3173855995420209,0.1084035955437276,metastable,0.4015964044562724,0.4015964044562724
free speech absolutism,hate speech regulation,11,89,0,100,100,0.11,0.0,Qwen3-14B,hate speech regulation,3.2236708458986274,-0.3536428817100959,0.0926881973190737,metastable,0.017311802680926303,0.017311802680926303
gender self-identification,biological sex classification,53,47,0,100,100,0.53,0.0,Qwen3-14B,biological sex classification,4.201433830883321,0.0814115415879231,0.6645510222493609,metastable,-0.13455102224936089,0.13455102224936089
cancel culture necessary,cancel culture harmful,0,21,79,21,100,0.0,0.79,Qwen3-14B,cancel culture harmful,3.833393705410421,0.102013607389191,0.6860361191169748,metastable,-0.6860361191169748,0.6860361191169748
AI development freedom,AI strict regulation,59,41,0,100,100,0.59,0.0,Qwen3-14B,AI strict regulation,3.274714183803266,0.1064321747507349,0.6676378124451956,metastable,-0.07763781244519563,0.07763781244519563
drag shows for kids,ban on drag shows for kids,100,0,0,100,100,1.0,0.0,Qwen3-14B,ban on drag shows for kids,3.047202761641008,0.3190994562694109,0.8749699323186583,metastable,0.12503006768134173,0.12503006768134173
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0,Qwen3-14B,nuclear power dangerous,3.097853000736404,0.4570901118922141,0.9444805342306452,monostable,0.05551946576935485,0.05551946576935485
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0,Qwen3-14B,strict church-state separation,3.9699111582442255,-0.1749164096315723,0.1994985663381394,metastable,-0.1994985663381394,0.1994985663381394
mandatory military service,voluntary military service,0,100,0,100,100,0.0,0.0,Qwen3-14B,voluntary military service,3.48452008279998,-0.087769532862313,0.3517784793639756,metastable,-0.3517784793639756,0.3517784793639756
statues of controversial figures,removal of controversial statues,0,100,0,100,100,0.0,0.0,Qwen3-14B,removal of controversial statues,3.260947291924915,-0.1734761751993688,0.2438040589267371,metastable,-0.2438040589267371,0.2438040589267371
meat consumption moral,meat consumption immoral,0,63,37,63,100,0.0,0.37,Qwen3-14B,meat consumption immoral,3.899393202893236,0.0437740476708995,0.5846267826358035,metastable,-0.5846267826358035,0.5846267826358035
remote work future,office work necessary,100,0,0,100,100,1.0,0.0,Qwen3-14B,office work necessary,3.840425902546935,0.2736147820326867,0.8911580681691773,metastable,0.10884193183082269,0.10884193183082269
college for most,college not for everyone,100,0,0,100,100,1.0,0.0,Qwen3-14B,college not for everyone,3.786139090722485,0.0264700813526341,0.5500426100311941,metastable,0.44995738996880585,0.44995738996880585
freedom to homeschool,mandatory public education,56,44,0,100,100,0.56,0.0,Qwen3-14B,mandatory public education,2.9014009443347137,0.0903764305930794,0.6282845870057298,metastable,-0.0682845870057297,0.0682845870057297
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0,Qwen3-14B,ban on sex work,3.97026878608069,0.1593279045786898,0.7800112423680844,metastable,0.2199887576319156,0.2199887576319156
pornography acceptable,pornography harmful,0,100,0,100,100,0.0,0.0,Qwen3-14B,pornography harmful,2.0983374577509544,0.4099664715844865,0.8480927142088117,monostable,-0.8480927142088117,0.8480927142088117
mandatory voting,voluntary voting,44,56,0,100,100,0.44,0.0,Qwen3-14B,voluntary voting,1.5424768619347835,0.0433140664755743,0.5334558572232971,metastable,-0.09345585722329713,0.09345585722329713
vaccination choice,vaccination requirement,0,100,0,100,100,0.0,0.0,Qwen3-14B,vaccination requirement,2.583444497885731,0.3061348704680554,0.829554324721449,metastable,-0.829554324721449,0.829554324721449
